borrower_id,loan_id,branch_id,district,obs_date,obs_period,rating,loan_amount,default_flag,gamma
MF00005,MF00005_L001,BR003,Manicaland,30-06-02,2002Q2,3,1180,0,-1.45
MF00005,MF00005_L001,BR003,Manicaland,30-09-02,2002Q3,2,1050,0,-1.31
MF00005,MF00005_L001,BR003,Manicaland,31-12-02,2002Q4,2,1000,0,-0.72
MF00005,MF00005_L001,BR003,Manicaland,31-03-03,2003Q1,2,990,0,0.33
MF00005,MF00005_L001,BR003,Manicaland,30-06-03,2003Q2,2,980,0,0.91
MF00005,MF00005_L001,BR003,Manicaland,30-09-03,2003Q3,3,1010,0,1.25
MF00006,MF00006_L001,BR010,Matabeleland South,30-06-02,2002Q2,2,650,0,-2.45
MF00006,MF00006_L001,BR010,Matabeleland South,30-09-02,2002Q3,1,450,0,-2.31
MF00006,MF00006_L001,BR010,Matabeleland South,31-12-02,2002Q4,1,0,1,-1.88
MF00007,MF00007_L001,BR001,Mashonaland Central,31-03-03,2003Q1,4,1200,0,0.12
MF00007,MF00007_L001,BR001,Mashonaland Central,30-06-03,2003Q2,4,1190,0,0.56
MF00007,MF00007_L001,BR001,Mashonaland Central,30-09-03,2003Q3,4,1175,0,0.89
MF00007,MF00007_L001,BR001,Mashonaland Central,31-12-03,2003Q4,4,1160,0,0.62
MF00007,MF00007_L001,BR001,Mashonaland Central,31-03-04,2004Q1,4,1150,0,0.78
MF00007,MF00007_L001,BR001,Mashonaland Central,30-06-04,2004Q2,5,1200,0,1.02
MF00007,MF00007_L001,BR001,Mashonaland Central,30-09-04,2004Q3,5,1250,0,1.34
MF00007,MF00007_L001,BR001,Mashonaland Central,31-12-04,2004Q4,5,1300,0,1.11
MF00008,MF00008_L001,BR005,Masvingo,30-06-03,2003Q2,3,900,0,0.56
MF00008,MF00008_L001,BR005,Masvingo,30-09-03,2003Q3,3,890,0,0.89
MF00008,MF00008_L001,BR005,Masvingo,31-12-03,2003Q4,3,875,0,0.62
MF00008,MF00008_L001,BR005,Masvingo,31-03-04,2004Q1,3,860,0,0.78
MF00008,MF00008_L001,BR005,Masvingo,30-06-04,2004Q2,4,890,0,1.02
MF00008,MF00008_L001,BR005,Masvingo,30-09-04,2004Q3,4,920,0,1.34
MF00008,MF00008_L001,BR005,Masvingo,31-12-04,2004Q4,4,950,0,1.11
MF00009,MF00009_L001,BR002,Mashonaland East,31-03-04,2004Q1,5,1400,0,0.78
MF00009,MF00009_L001,BR002,Mashonaland East,30-06-04,2004Q2,5,1420,0,1.02
MF00009,MF00009_L001,BR002,Mashonaland East,30-09-04,2004Q3,5,1450,0,1.34
MF00009,MF00009_L001,BR002,Mashonaland East,31-12-04,2004Q4,5,1480,0,1.11
MF00009,MF00009_L001,BR002,Mashonaland East,31-03-05,2005Q1,5,1500,0,0.65
MF00010,MF00010_L001,BR008,Midlands,30-09-03,2003Q3,2,700,0,0.89
MF00010,MF00010_L001,BR008,Midlands,31-12-03,2003Q4,2,690,0,0.62
MF00010,MF00010_L001,BR008,Midlands,31-03-04,2004Q1,3,720,0,0.78
MF00010,MF00010_L001,BR008,Midlands,30-06-04,2004Q2,3,740,0,1.02
MF00010,MF00010_L001,BR008,Midlands,30-09-04,2004Q3,3,760,0,1.34
MF00010,MF00010_L001,BR008,Midlands,31-12-04,2004Q4,4,800,0,1.11
MF00011,MF00011_L001,BR003,Manicaland,30-06-04,2004Q2,3,1100,0,1.02
MF00011,MF00011_L001,BR003,Manicaland,30-09-04,2004Q3,3,1120,0,1.34
MF00011,MF00011_L001,BR003,Manicaland,31-12-04,2004Q4,4,1150,0,1.11
MF00011,MF00011_L001,BR003,Manicaland,31-03-05,2005Q1,4,1175,0,0.65
MF00012,MF00012_L001,BR010,Matabeleland South,30-09-04,2004Q3,2,600,0,1.34
MF00012,MF00012_L001,BR010,Matabeleland South,31-12-04,2004Q4,2,590,0,1.11
MF00012,MF00012_L001,BR010,Matabeleland South,31-03-05,2005Q1,2,580,0,0.65
MF00012,MF00012_L001,BR010,Matabeleland South,30-06-05,2005Q2,3,610,0,0.43
MF00013,MF00013_L001,BR001,Mashonaland Central,31-03-05,2005Q1,4,1250,0,0.65
MF00013,MF00013_L001,BR001,Mashonaland Central,30-06-05,2005Q2,4,1235,0,0.43
MF00013,MF00013_L001,BR001,Mashonaland Central,30-09-05,2005Q3,4,1220,0,0.22
MF00013,MF00013_L001,BR001,Mashonaland Central,31-12-05,2005Q4,4,1205,0,-0.15
MF00013,MF00013_L001,BR001,Mashonaland Central,31-03-06,2006Q1,4,1190,0,0.31
MF00014,MF00014_L001,BR005,Masvingo,30-06-05,2005Q2,3,950,0,0.43
MF00014,MF00014_L001,BR005,Masvingo,30-09-05,2005Q3,3,935,0,0.22
MF00014,MF00014_L001,BR005,Masvingo,31-12-05,2005Q4,3,920,0,-0.15
MF00014,MF00014_L001,BR005,Masvingo,31-03-06,2006Q1,3,910,0,0.31
MF00014,MF00014_L001,BR005,Masvingo,30-06-06,2006Q2,4,940,0,0.67
MF00015,MF00015_L001,BR002,Mashonaland East,30-09-05,2005Q3,5,1450,0,0.22
MF00015,MF00015_L001,BR002,Mashonaland East,31-12-05,2005Q4,5,1435,0,-0.15
MF00015,MF00015_L001,BR002,Mashonaland East,31-03-06,2006Q1,5,1420,0,0.31
MF00015,MF00015_L001,BR002,Mashonaland East,30-06-06,2006Q2,5,1410,0,0.67
MF00015,MF00015_L001,BR002,Mashonaland East,30-09-06,2006Q3,4,1390,0,-0.45
MF00016,MF00016_L001,BR008,Midlands,31-12-05,2005Q4,3,850,0,-0.15
MF00016,MF00016_L001,BR008,Midlands,31-03-06,2006Q1,3,840,0,0.31
MF00016,MF00016_L001,BR008,Midlands,30-06-06,2006Q2,3,830,0,0.67
MF00016,MF00016_L001,BR008,Midlands,30-09-06,2006Q3,3,815,0,-0.45
MF00016,MF00016_L001,BR008,Midlands,31-12-06,2006Q4,2,780,0,-0.82
MF00017,MF00017_L001,BR003,Manicaland,31-03-06,2006Q1,4,1200,0,0.31
MF00017,MF00017_L001,BR003,Manicaland,30-06-06,2006Q2,4,1185,0,0.67
MF00017,MF00017_L001,BR003,Manicaland,30-09-06,2006Q3,3,1150,0,-0.45
MF00017,MF00017_L001,BR003,Manicaland,31-12-06,2006Q4,3,1120,0,-0.82
MF00017,MF00017_L001,BR003,Manicaland,31-03-07,2007Q1,3,1105,0,0.18
MF00018,MF00018_L001,BR010,Matabeleland South,30-06-06,2006Q2,2,650,0,0.67
MF00018,MF00018_L001,BR010,Matabeleland South,30-09-06,2006Q3,2,630,0,-0.45
MF00018,MF00018_L001,BR010,Matabeleland South,31-12-06,2006Q4,1,580,0,-0.82
MF00018,MF00018_L001,BR010,Matabeleland South,31-03-07,2007Q1,1,0,1,0.18
MF00019,MF00019_L001,BR001,Mashonaland Central,31-03-07,2007Q1,4,1300,0,0.18
MF00019,MF00019_L001,BR001,Mashonaland Central,30-06-07,2007Q2,4,1285,0,0.55
MF00019,MF00019_L001,BR001,Mashonaland Central,30-09-07,2007Q3,4,1270,0,0.33
MF00019,MF00019_L001,BR001,Mashonaland Central,31-12-07,2007Q4,4,1255,0,-0.25
MF00019,MF00019_L001,BR001,Mashonaland Central,31-03-08,2008Q1,3,1180,0,-1.52
MF00019,MF00019_L001,BR001,Mashonaland Central,30-06-08,2008Q2,2,1050,0,-1.88
MF00020,MF00020_L001,BR005,Masvingo,30-06-07,2007Q2,3,1000,0,0.55
MF00020,MF00020_L001,BR005,Masvingo,30-09-07,2007Q3,3,985,0,0.33
MF00020,MF00020_L001,BR005,Masvingo,31-12-07,2007Q4,3,970,0,-0.25
MF00020,MF00020_L001,BR005,Masvingo,31-03-08,2008Q1,2,850,0,-1.98
MF00020,MF00020_L001,BR005,Masvingo,30-06-08,2008Q2,1,700,0,-2.21
MF00020,MF00020_L001,BR005,Masvingo,30-09-08,2008Q3,1,0,1,-1.95
MF00021,MF00021_L001,BR002,Mashonaland East,30-09-07,2007Q3,5,1480,0,0.33
MF00021,MF00021_L001,BR002,Mashonaland East,31-12-07,2007Q4,5,1465,0,-0.25
MF00021,MF00021_L001,BR002,Mashonaland East,31-03-08,2008Q1,4,1380,0,-1.45
MF00021,MF00021_L001,BR002,Mashonaland East,30-06-08,2008Q2,3,1250,0,-1.72
MF00021,MF00021_L001,BR002,Mashonaland East,30-09-08,2008Q3,3,1200,0,-1.95
MF00021,MF00021_L001,BR002,Mashonaland East,31-12-08,2008Q4,3,1180,0,-1.23
MF00022,MF00022_L001,BR008,Midlands,31-12-07,2007Q4,3,900,0,-0.25
MF00022,MF00022_L001,BR008,Midlands,31-03-08,2008Q1,2,780,0,-1.78
MF00022,MF00022_L001,BR008,Midlands,30-06-08,2008Q2,2,720,0,-2.05
MF00022,MF00022_L001,BR008,Midlands,30-09-08,2008Q3,1,600,0,-2.12
MF00022,MF00022_L001,BR008,Midlands,31-12-08,2008Q4,1,0,1,-1.56
MF00023,MF00023_L001,BR003,Manicaland,31-03-08,2008Q1,3,1100,0,-1.45
MF00023,MF00023_L001,BR003,Manicaland,30-06-08,2008Q2,2,950,0,-1.72
MF00023,MF00023_L001,BR003,Manicaland,30-09-08,2008Q3,2,880,0,-2.12
MF00023,MF00023_L001,BR003,Manicaland,31-12-08,2008Q4,2,850,0,-1.56
MF00023,MF00023_L001,BR003,Manicaland,31-03-09,2009Q1,2,840,0,0.42
MF00024,MF00024_L001,BR010,Matabeleland South,30-06-08,2008Q2,2,700,0,-2.05
MF00024,MF00024_L001,BR010,Matabeleland South,30-09-08,2008Q3,1,550,0,-2.12
MF00024,MF00024_L001,BR010,Matabeleland South,31-12-08,2008Q4,1,0,1,-1.56
MF00025,MF00025_L001,BR001,Mashonaland Central,31-03-09,2009Q1,4,1350,0,0.42
MF00025,MF00025_L001,BR001,Mashonaland Central,30-06-09,2009Q2,4,1335,0,0.78
MF00025,MF00025_L001,BR001,Mashonaland Central,30-09-09,2009Q3,4,1320,0,1.05
MF00025,MF00025_L001,BR001,Mashonaland Central,31-12-09,2009Q4,4,1305,0,0.81
MF04567,MF04567_L001,BR008,Midlands,30-06-23,2023Q2,2,950,0,-1.65
MF04567,MF04567_L001,BR008,Midlands,30-09-23,2023Q3,1,800,0,-1.92
MF04567,MF04567_L001,BR008,Midlands,31-12-23,2023Q4,1,0,1,-1.78
MF04568,MF04568_L001,BR003,Manicaland,30-09-23,2023Q3,3,1200,0,-1.92
MF04568,MF04568_L001,BR003,Manicaland,31-12-23,2023Q4,2,1050,0,-1.78
MF04568,MF04568_L001,BR003,Manicaland,31-03-24,2024Q1,2,1000,0,-1.45
MF04568,MF04568_L001,BR003,Manicaland,30-06-24,2024Q2,2,980,0,-1.32
MF04569,MF04569_L001,BR010,Matabeleland South,31-12-23,2023Q4,2,650,0,-1.78
MF04569,MF04569_L001,BR010,Matabeleland South,31-03-24,2024Q1,1,500,0,-1.45
MF04569,MF04569_L001,BR010,Matabeleland South,30-06-24,2024Q2,1,0,1,-1.32
MF04570,MF04570_L001,BR001,Mashonaland Central,30-09-24,2024Q3,4,1400,0,-0.85
MF04570,MF04570_L001,BR001,Mashonaland Central,31-12-24,2024Q4,4,1385,0,-0.45
MF04570,MF04570_L001,BR001,Mashonaland Central,31-03-25,2025Q1,4,1370,0,0.12
MF04570,MF04570_L001,BR001,Mashonaland Central,30-06-25,2025Q2,4,1360,0,0.48
MF04570,MF04570_L001,BR001,Mashonaland Central,30-09-25,2025Q3,5,1400,0,0.91
MF04570,MF04570_L001,BR001,Mashonaland Central,31-12-25,2025Q4,5,1420,0,0.67
MF02345,MF02345_L001,BR001,Mashonaland Central,31-03-10,2010Q1,4,1240,0,0.89
MF02345,MF02345_L001,BR001,Mashonaland Central,30-06-10,2010Q2,4,1230,0,0.67
MF02345,MF02345_L001,BR001,Mashonaland Central,30-09-10,2010Q3,4,1215,0,0.92
MF02345,MF02345_L001,BR001,Mashonaland Central,31-12-10,2010Q4,4,1200,0,0.54
MF02345,MF02345_L001,BR001,Mashonaland Central,31-03-11,2011Q1,4,1190,0,0.72
MF02345,MF02345_L001,BR001,Mashonaland Central,30-06-11,2011Q2,4,1185,0,0.88
MF02345,MF02345_L001,BR001,Mashonaland Central,30-09-11,2011Q3,5,1220,0,1.12
MF02345,MF02345_L001,BR001,Mashonaland Central,31-12-11,2011Q4,5,1250,0,0.93
MF02345,MF02345_L001,BR001,Mashonaland Central,31-03-12,2012Q1,5,1275,0,0.68
MF02345,MF02345_L001,BR001,Mashonaland Central,30-06-12,2012Q2,5,1290,0,0.45
MF02345,MF02345_L001,BR001,Mashonaland Central,30-09-12,2012Q3,5,1305,0,0.23
MF02345,MF02345_L001,BR001,Mashonaland Central,31-12-12,2012Q4,5,1320,0,-0.12
MF02345,MF02345_L001,BR001,Mashonaland Central,31-03-13,2013Q1,4,1280,0,-0.45
MF02345,MF02345_L001,BR001,Mashonaland Central,30-06-13,2013Q2,4,1265,0,-0.22
MF02345,MF02345_L001,BR001,Mashonaland Central,30-09-13,2013Q3,4,1250,0,0.15
MF02345,MF02345_L001,BR001,Mashonaland Central,31-12-13,2013Q4,4,1240,0,0.38
MF02345,MF02345_L001,BR001,Mashonaland Central,31-03-14,2014Q1,4,1235,0,0.61
MF02345,MF02345_L001,BR001,Mashonaland Central,30-06-14,2014Q2,4,1230,0,0.84
MF02345,MF02345_L001,BR001,Mashonaland Central,30-09-14,2014Q3,4,1220,0,-0.18
MF02345,MF02345_L001,BR001,Mashonaland Central,31-12-14,2014Q4,3,1150,0,-0.85
MF02345,MF02345_L001,BR001,Mashonaland Central,31-03-15,2015Q1,3,1100,0,-1.42
MF02345,MF02345_L001,BR001,Mashonaland Central,30-06-15,2015Q2,2,980,0,-1.68
MF02345,MF02345_L001,BR001,Mashonaland Central,30-09-15,2015Q3,2,920,0,-1.55
MF02345,MF02345_L001,BR001,Mashonaland Central,31-12-15,2015Q4,2,900,0,-1.22
MF02345,MF02345_L001,BR001,Mashonaland Central,31-03-16,2016Q1,2,890,0,-1.38
MF02345,MF02345_L001,BR001,Mashonaland Central,30-06-16,2016Q2,2,880,0,-1.15
MF02345,MF02345_L001,BR001,Mashonaland Central,30-09-16,2016Q3,2,870,0,-0.72
MF02345,MF02345_L001,BR001,Mashonaland Central,31-12-16,2016Q4,3,900,0,-0.45
MF02345,MF02345_L001,BR001,Mashonaland Central,31-03-17,2017Q1,3,920,0,0.32
MF02345,MF02345_L001,BR001,Mashonaland Central,30-06-17,2017Q2,3,940,0,0.78
MF02345,MF02345_L001,BR001,Mashonaland Central,30-09-17,2017Q3,4,980,0,1.05
MF02345,MF02345_L001,BR001,Mashonaland Central,31-12-17,2017Q4,4,1010,0,0.82
MF02345,MF02345_L001,BR001,Mashonaland Central,31-03-18,2018Q1,4,1035,0,0.95
MF02345,MF02345_L001,BR001,Mashonaland Central,30-06-18,2018Q2,4,1060,0,1.22
MF02345,MF02345_L001,BR001,Mashonaland Central,30-09-18,2018Q3,4,1085,0,0.88
MF02345,MF02345_L001,BR001,Mashonaland Central,31-12-18,2018Q4,4,1100,0,-0.65
MF02345,MF02345_L001,BR001,Mashonaland Central,31-03-19,2019Q1,3,1020,0,-1.35
MF02345,MF02345_L001,BR001,Mashonaland Central,30-06-19,2019Q2,3,1000,0,-1.58
MF02345,MF02345_L001,BR001,Mashonaland Central,30-09-19,2019Q3,2,920,0,-1.42
MF02345,MF02345_L001,BR001,Mashonaland Central,31-12-19,2019Q4,2,900,0,-0.95
MF02345,MF02345_L001,BR001,Mashonaland Central,31-03-20,2020Q1,2,890,0,0.18
MF02345,MF02345_L001,BR001,Mashonaland Central,30-06-20,2020Q2,2,885,0,0.42
MF02345,MF02345_L001,BR001,Mashonaland Central,30-09-20,2020Q3,3,920,0,0.68
MF02345,MF02345_L001,BR001,Mashonaland Central,31-12-20,2020Q4,3,940,0,0.51
MF02345,MF02345_L001,BR001,Mashonaland Central,31-03-21,2021Q1,3,955,0,0.75
MF02345,MF02345_L001,BR001,Mashonaland Central,30-06-21,2021Q2,4,990,0,0.98
MF02345,MF02345_L001,BR001,Mashonaland Central,30-09-21,2021Q3,4,1015,0,1.12
MF02345,MF02345_L001,BR001,Mashonaland Central,31-12-21,2021Q4,4,1030,0,0.89
MF02345,MF02345_L001,BR001,Mashonaland Central,31-03-22,2022Q1,4,1045,0,0.65
MF02345,MF02345_L001,BR001,Mashonaland Central,30-06-22,2022Q2,4,1060,0,0.31
MF02345,MF02345_L001,BR001,Mashonaland Central,30-09-22,2022Q3,3,1010,0,-0.45
MF02345,MF02345_L001,BR001,Mashonaland Central,31-12-22,2022Q4,3,990,0,-0.82
MF02345,MF02345_L001,BR001,Mashonaland Central,31-03-23,2023Q1,2,900,0,-1.28
MF02345,MF02345_L001,BR001,Mashonaland Central,30-06-23,2023Q2,2,860,0,-1.65
MF02345,MF02345_L001,BR001,Mashonaland Central,30-09-23,2023Q3,2,840,0,-1.92
MF02345,MF02345_L001,BR001,Mashonaland Central,31-12-23,2023Q4,2,830,0,-1.78
MF02345,MF02345_L001,BR001,Mashonaland Central,31-03-24,2024Q1,2,825,0,-1.45
MF02345,MF02345_L001,BR001,Mashonaland Central,30-06-24,2024Q2,2,820,0,-1.32
MF02345,MF02345_L001,BR001,Mashonaland Central,30-09-24,2024Q3,3,850,0,-0.85
MF02345,MF02345_L001,BR001,Mashonaland Central,31-12-24,2024Q4,3,870,0,-0.45
MF02345,MF02345_L001,BR001,Mashonaland Central,31-03-25,2025Q1,3,885,0,0.12
MF02345,MF02345_L001,BR001,Mashonaland Central,30-06-25,2025Q2,4,920,0,0.48
MF02345,MF02345_L001,BR001,Mashonaland Central,30-09-25,2025Q3,4,945,0,0.91
MF02345,MF02345_L001,BR001,Mashonaland Central,31-12-25,2025Q4,4,965,0,0.67
MF03122,MF03122_L001,BR010,Matabeleland South,30-09-10,2010Q3,2,620,0,0.92
MF03122,MF03122_L001,BR010,Matabeleland South,31-12-10,2010Q4,2,610,0,0.54
MF03122,MF03122_L001,BR010,Matabeleland South,31-03-11,2011Q1,3,640,0,0.72
MF03122,MF03122_L001,BR010,Matabeleland South,30-06-11,2011Q2,3,660,0,0.88
MF03122,MF03122_L001,BR010,Matabeleland South,30-09-11,2011Q3,3,680,0,1.12
MF03122,MF03122_L001,BR010,Matabeleland South,31-12-11,2011Q4,3,695,0,0.93
MF03122,MF03122_L001,BR010,Matabeleland South,31-03-12,2012Q1,3,710,0,0.68
MF03122,MF03122_L001,BR010,Matabeleland South,30-06-12,2012Q2,4,750,0,0.45
MF03122,MF03122_L001,BR010,Matabeleland South,30-09-12,2012Q3,4,780,0,0.23
MF03122,MF03122_L001,BR010,Matabeleland South,31-12-12,2012Q4,4,800,0,-0.12
MF03122,MF03122_L001,BR010,Matabeleland South,31-03-13,2013Q1,3,750,0,-0.45
MF03122,MF03122_L001,BR010,Matabeleland South,30-06-13,2013Q2,3,730,0,-0.22
MF03122,MF03122_L001,BR010,Matabeleland South,30-09-13,2013Q3,3,715,0,0.15
MF03122,MF03122_L001,BR010,Matabeleland South,31-12-13,2013Q4,3,700,0,0.38
MF03122,MF03122_L001,BR010,Matabeleland South,31-03-14,2014Q1,2,650,0,0.61
MF03122,MF03122_L001,BR010,Matabeleland South,30-06-14,2014Q2,2,630,0,0.84
MF03122,MF03122_L001,BR010,Matabeleland South,30-09-14,2014Q3,1,580,0,-0.18
MF03122,MF03122_L001,BR010,Matabeleland South,31-12-14,2014Q4,1,0,1,-0.85
